302907,"PRIYAMVADA BIRLASR SEC SCHOOL, J. R. BIRLA ROAD SATNA MP 485005, SATNA, MADHYA PRADESH"
300357,"PRAGYA GIRLS SCHOOL, PW2P+9V7, PURSHOTTAM AGARWAL MARG, NEAR VIDYA SAGAR COLLEGE, PRAGATI VIHAR, INDORE, MADHYA PRADESH"
302501,"SARASWATI SHISHU VIDYA MANDIR SR. SEC. SCHOOL, PLOT NO. 831 VIKAS NAGAR 14/2 NEEMUCH, NEEMUCH, MADHYA PRADESH"
300911,"GOVT GIRL''S HIGH SCHOOL, MOTI MATA CHOULK NEAR SP HOUSE, BARWANI, MADHYA PRADESH"
300912,"KENDRIYA VIDYALAYA BADWANI, KENDRIYA VIDYALAYA NEAR BY EKLAVYA MODEL RESIDENTIAL SCHOOL CAMPUS BARWANI, BARWANI, MADHYAPRADESH"
301312,"ST. JOSEPH SCHOOL, OPPOITE OF SBI BANK, KHAJRI ROAD, CHHINDWARA, CHHINDWARA, MADHYA PRADESH"
301313,"ARIHANT INTERNATIONAL ACADEMY, IN FRONT OF SATKAR TOYOTA, BESIDE OF PETROL PUMP, NAGPUR ROAD, CHHINDWARA, CHHINDWARA, MADHYAPRADESH"
312308,"PODAR INTERNATIONAL SCHOOL, PODAR INTERNATIONAL SCHOOL PLOT NO:17 SURVEY NO. 16/04, BHANDARA, MAHARASHTRA"
310954,"JIJAMATA HIGH SCHOOL MIDC LATUR, JIJAMATA HIGH SCHOOL PLOT NO -78 MIDC LATUR., LATUR, MAHARASHTRA"
313309,"KANADE INTERNATIONAL SCHOOL , WASHIM, WASHIM SELU BAZAR ROAD , WASHIM, WASHIM, MAHARASHTRA"
313310,"SHRI TULSHIRAMJI JADHAO COLLEGE, SHRI TULSHIRAMJI JADHAO COLLEGE SONKHAS ROAD , LAKHALA WASHIM, WASHIM, MAHARASHTRA"
311256,"PINNACLE INTERNATIONAL SCHOOL WING B, KAKANDI TARFE PASADGAON NEAR SAI LAWNS MALEGAON ROAD NANDED, NANDED, MAHARASHTRA"
311060,"MANAV MANDIR''S SMT NPR SHETH MULTIPURPOSE HIGH SCHOOL, 10 MANAV MANDIR ROAD MALABAR HILL ,MUMBAI-400006, MUMBAI, MAHARASHTRA"
311061,"COLLEGE OF HOME SCIENCE, NIRMALA NIKETAN, COLLEGE OF HOME SCIENCE, NIRMALA NIKETAN, 49-NEW MARINE LINES, MUMBAI, MAHARASHTRA"
311062,"ANANDIBAI KALE SCHOOL AND COLLEGE OF COMMERCE, SAI BABA NAGAR,OPP PAWAR PUBLIC SCHOOL, BORIVALI WEST, MUMBAI, MAHARASHTRA"
320201,"MAHA UNION GOVERNMENT HIGHER SECONDARY SCHOOL, JAPHOU CHANDEL, CHANDEL, MANIPUR"
330201,"ASSAM RIFLES PUBLIC SCHOOL, SHILLONG LAITKOR NEAR HQ DGAR, EAST KHASI HILLS, MEGHALAYA"
340107,"KENDRIYA VIDYALAYA (MIZORAM UNIVERSITY), KV MIZORAM UNIVERSITY CAMPUS TANHRIL AIZAWL, AIZAWL, MIZORAM"
361603,"PRASHANTI INTERNATIONAL SCHOOL, NEAR GIRINARIBANTA ASHRAM, LOKANATH ROAD, SAMANGA MAUZA, PURI, ODISHA, PURI, ODISHA"
361806,"ST.  XAVIER?S  HIGH  SCHOOL INDUPAHI, AT- INDAPAHI,   LAXMIPOSI, BARIPADA, MAYURBHANJ, BARIPADA/MAYURBANJ, ODISHA"
362104,"DAV PUBLIC SCHOOL, PPL TOWNSHIP PARADEEP JAGATSINGHPUR ODISHA, JAGATSINGHPUR, ODISHA"
362501,"BAPUJI PUBLIC SCHOOL, C/O BAPUJI PUBLIC SCHOOL MAJHIGUDA NABARANGPUR ODISHA 764059, NAWARANGPUR, ODISHA"
362505,"UNIQUE PUBLIC SCHOOL, C/O UNIQUE PUBLIC SCHOOL NEW TANK STREET NABARANGPUR ODISHA 764059, NAWARANGPUR, ODISHA"
362603,"ÿGYANJYOTI K.R VIDYALAYA MAULIBHATA GADTOR NUAPADA-766105, P.O MAULIBHATA AT : GADTOR PATORA ROAD WARD NO. 2 NUAPADA-766105 DIST:NUAPADA STATE : ODISHA, NUAPADA, ODISHA"
370301,"C E BHARATHAN GOVT. HIGHER SECONDARY SCHOOL, MAHE, PUDUCHERRY STATE, PIN 673310, MAHE, PUDUCHERRY (UT)"
381202,"DELHI PUBLIC SCHOOL, DELHI PUBLIC SCHOOL, PATHANKOT AMRITSAR BYE-PASS ROAD, JHAKHOLARI, PATHANKOT, PUNJAB"
391307,"SHRI JAIN KESAR BALIKA SECONDARY SCHOOL NEAR MUMTAJ HOSPITAL CHURU, SHRI JAIN KESAR BALIKA SECONDARY SCHOOL NEAR MUMTAJHOSPITAL CHURU, CHURU, RAJASTHAN"
391505,"VIVEKANAND SENIOR SECONDARY SCHOOL, VIVEKANAND SENIOR SECONDARY SCHOOL TALAIYYA ROAD KOTHI DHOLPUR, DHOLPUR, RAJASTHAN"
392006,"ACADEMIC HEIGHTS PUBLIC SCH DUKOSI NAGAUR RAJ, NEAR FIRE BRIGADE STATION MDR 37A, ROAD, DUKOSI, RAJASTHAN, NAGAUR, RAJASTHAN"
390805,"APEX INTERNATIONAL SCHOOL, WARD NO.2 POLICE LINE ROAD NH-27 KOTA-BARAN HIGHWAY, BARAN, RAJASTHAN"
390907,"ENGINEERING COLLEGE BARMER, NH-68 JAISALMER ROAD, JALIPA CANTT., BARMER, RAJASTHAN"
391204,"HIND ZINC SCHOOL, HIND ZINC SCHOOL ZINC NAGAR CHITTORGARH . RAJASTHAN 312001, CHITTORGARH, RAJASTHAN"
390434,"ST PAUL`S SCHOOL SHASTRI CIRCLE JODHPUR RAJ, ST. PAUL`S SCHOOL SHASTRI CIRCLE JODHPUR RAJASTHAN, JODHPUR, RAJASTHAN"
400201,"GOVT. GIRLS'' SR. SEC. SCHOOL GYALSHING WEST SIKKIM, KYONGSHA P. O GYALSHING BAZAR DISTRICT: GYALSHING PIN 737111 SIKKIM, WEST SIKKIM,SIKKIM"
410614,"VELAMMAL VIDYALAYA, PENNICUIC GARDEN THENI-KUMULI NATIONAL HIGHWAY MUTHUTHEVANPATTY, VEERAPANDI POST, THENI ? 625531, MADURAI,TAMIL NADU"
412407,"SAI LAUREL INTL SCHOOL, SAI LAUREL INTERNATIONAL SCHOOL KURUMBAKKADU RETHINAKOTTAI ARANTHANGI - 614616 PUDUKKOTTAI DIST.TAMILNADU, PUDUKKOTTAI, TAMIL NADU"
412504,"SHIFAN NOOR GLOBAL ACADEMY, VENKULAM DEVIPATTINAM ROAD RAMANATHAPURAM TAMIL NADU, RAMANATHAPURAM, TAMIL NADU"
413108,"JOHN DEWEY INTERNATIONAL SCHOOL, 3/250, PONDY MAIN ROAD PANANKUPPAM VILLUPURAM, VILUPPURAM, TAMIL NADU"
